"Date";"ProductName";"StockEOD";"DeliveryFromProduction";"Rejection";"StartupLoss";"Obsoletes";"InBackorder"
"2018-08-24";"Fressie Orange/C-power PET";354;0;0;0;0;0
"2018-08-24";"Fressie Orange PET";312491;0;0;0;0;0
"2018-08-24";"Fressie Orange/Mango PET";111995;0;0;0;0;0
"2018-08-24";"Fressie Orange/Mango+C 1L";132835;0;0;0;0;0
"2018-08-27";"Fressie Orange 1 liter";750037;798851;0;280;0;0
"2018-08-27";"Fressie Orange/Mango 1 liter";23673;0;0;0;0;0
"2018-08-27";"Fressie Orange/C-power PET";0;0;0;0;0;0
"2018-08-27";"Fressie Orange PET";312491;0;0;0;0;0
"2018-08-27";"Fressie Orange/Mango PET";111995;0;0;0;0;0
"2018-08-27";"Fressie Orange/Mango+C 1L";121435;0;0;0;0;0
"2018-08-28";"Fressie Orange 1L";639637;0;0;0;0;0
"2018-08-28";"Fressie Orange/Mango 1L";23673;0;0;0;0;0
"2018-08-28";"Fressie Orange/C-power PET";0;0;0;0;0;5406
"2018-08-28";"Fressie Orange PET";312491;0;0;0;0;0
"2018-08-28";"Fressie Orange/Mango PET";103355;0;0;0;0;0
"2018-08-28";"Fressie Orange/Mango+C 1L";121435;0;0;0;0;0
"2018-08-29";"Fressie Orange 1 liter";639637;0;0;0;0;0
"2018-08-29";"Fressie Orange/Mango 1 liter";20673;0;0;0;0;0
"2018-08-29";"Fressie Orange/C-power PET";0;0;0;0;0;5406
"2018-08-29";"Fressie Orange PET";312491;0;0;0;0;0
"2018-08-29";"Fressie Orange/Mango PET";83195;0;0;0;0;0
"2018-08-29";"Fressie Orange/Mango+C 1L";121435;0;0;0;0;0
"2018-08-30";"Fressie Orange 1 liter";545437;0;0;0;0;0
"2018-08-30";"Fressie Orange/Mango 1 liter";20673;0;0;0;0;0
"2018-08-30";"Fressie Orange/C-power PET";0;0;0;0;0;8286
"2018-08-30";"Fressie Orange PET";312491;0;0;0;0;0
"2018-08-30";"Fressie Orange/Mango PET";83195;0;0;0;0;0
"2018-08-30";"Fressie Orange/Mango+C 1L";121435;0;0;0;0;0
"2018-08-31";"Fressie Orange 1 liter";545437;0;0;0;0;0
"2018-08-31";"Fressie Orange/Mango 1 liter";20673;0;0;0;0;0
"2018-08-31";"Fressie Orange/C-power P";0;0;0;0;0;8286
"2018-08-31";"Fressie Orange P";252011;0;0;0;0;0
"2018-08-31";"Fressie Orange/Mango P";83195;0;0;0;0;0
"2018-08-31";"Fressie Orange/Mango+C 1L";105235;0;0;0;0;0
"2018-09-03";"Fressie Orange 1 liter";545437;0;0;0;0;0
"2018-09-03";"Fressie Orange/Mango 1 liter";19439;11999;0;280;12953;0
"2018-09-03";"Fressie Orange/C-power PET";0;0;0;0;0;11166
"2018-09-03";"Fressie Orange PET";252011;0;0;0;0;0
"2018-09-03";"Fressie Orange/Mango PET";83195;0;0;0;0;0
"2018-09-03";"Fressie Orange/Mango+C 1L";61666;0;0;0;15969;0
"2018-09-04";"Fressie Orange 1 liter";545437;0;0;0;0;0
"2018-09-04";"Fressie Orange/Mango 1 liter";17039;0;0;0;0;0
"2018-09-04";"Fressie Orange/C-power PET";0;0;0;0;0;11166
"2018-09-04";"Fressie Orange PET";252011;0;0;0;0;0
"2018-09-04";"Fressie Orange/Mango PET";80315;0;0;0;0;0
"2018-09-04";"Fressie Orange/Mango+C 1L";61666;0;0;0;0;0
"2018-09-05";"Fressie Orange 1 liter";479437;0;0;0;0;0
"2018-09-05";"Fressie Orange/Mango 1 liter";17039;0;0;0;0;0
"2018-09-05";"Fressie Orange/C-power PET";0;0;0;0;0;11166
"2018-09-05";"Fressie Orange PET";756099;614462;0;933;0;0
"2018-09-05";"Fressie Orange/Mango PET";80315;0;0;0;0;0
"2018-09-05";"Fressie Orange/Mango+C 1L";61666;0;0;0;0;0
"2018-09-06";"Fressie Orange 1 liter";425437;0;0;0;0;0
"2018-09-06";"Fressie Orange/Mango 1 liter";17039;0;0;0;0;0
"2018-09-06";"Fressie Orange/C-power PET";0;0;0;0;0;11166
"2018-09-06";"Fressie Orange PET";689859;0;0;0;0;0
"2018-09-06";"Fressie Orange/Mango PET";135268;67407;0;933;0;0
"2018-09-06";"Fressie Orange/Mango+C 1L";52066;0;0;0;0;0
"2018-09-07";"Fressie Orange 1 liter";425437;0;0;0;0;0
"2018-09-07";"Fressie Orange/Mango 1 liter";12839;0;0;0;0;0
"2018-09-07";"Fressie Orange/C-power PET";0;0;0;0;0;16926
"2018-09-07";"Fressie Orange PET";666819;0;0;0;0;0
"2018-09-07";"Fressie Orange/Mango PET";135268;0;0;0;0;0
"2018-09-07";"Fressie Orange/Mango+C 1L";205495;166909;0;280;0;0
"2018-09-10";"Fressie Orange 1 liter";404437;0;0;0;0;0
"2018-09-10";"Fressie Orange/Mango 1 liter";10439;0;0;0;0;0
"2018-09-10";"Fressie Orange/C-power PET";0;0;0;0;0;16926
"2018-09-10";"Fressie Orange PET";620739;0;0;0;0;0
"2018-09-10";"Fressie Orange/Mango PET";135268;0;0;0;0;0
"2018-09-10";"Fressie Orange/Mango+C 1L";205495;0;0;0;0;0
"2018-09-11";"Fressie Orange 1 liter";404437;0;0;0;0;0
"2018-09-11";"Fressie Orange/Mango 1 liter";10439;0;0;0;0;0
"2018-09-11";"Fressie Orange/C-power PET";0;0;0;0;0;16926
"2018-09-11";"Fressie Orange PET";620739;0;0;0;0;0
"2018-09-11";"Fressie Orange/Mango PET";135268;0;0;0;0;0
